Position,Classification_Code,Starting step,Current monthly pay,2024 monthly pay,2025 monthly pay,2024 monthly difference (2024-current),2025 monthly difference (2025 - current),Total increase over the contract,Annual pay at current monthly pay,Annual pay at monthly pay at end of contract
Sign Technician 1,4131,6,4356,4851,5420,495,1064,12244,52272,65040
Social Service Assistant,6609,6,3964,4425,4943,461,979,11277,47568,59316
Social Service Specialist 1,6613,6,5771,6444,7206,673,1435,15734,69252,86472
Social Services Specialist 2,6613,6,6350,7097,7923,747,1573,17162,76200,95076
State Library Specialist 1,351,6,3218,3552,3952,334,734,9437,38616,47424
State Library Specialist 2,353,6,4155,4639,5169,484,1014,11748,49860,62028
State Procurement Analyst,770,6,7327,8177,9143,850,1816,19571,87924,109716
Student Office Worker,100,6,0,4301,4301,4301,4301,1500,0,51612
Supply Specialist 1,758,6,3483,3865,4301,382,818,10091,41796,51612
Supply Specialist 2,759,6,4555,5086,5695,531,1140,12735,54660,68340
Tax Auditor 1,5631,6,5771,6444,7206,673,1435,15734,69252,86472
Tax Auditor 2,5633,6,6664,7436,8314,772,1650,17936,79968,99768
Tax Auditor/Entry,5630,6,4555,5086,5695,531,1140,12735,54660,68340
Teaching Assistant,3303,6,3629,4036,4498,407,869,10451,43548,53976
Traffic Survey Interviewer,1105,6,0,,,,,1500,0,
Training & Development Specialist 1,1338,6,5256,5861,6549,605,1293,14464,63072,78588
Training & Development Specialist 2,1339,6,6350,7097,7923,747,1573,17162,76200,95076
Transportation Maintenance Coordinator 1,4161,6,4776,5345,5964,569,1188,13280,57312,71568
Transportation Maintenance Coordinator 2,4163,6,5019,5598,6245,579,1226,13879,60228,74940
Transportation Maintenance Specialist 1,4151,6,3964,4425,4943,461,979,11277,47568,59316
Transportation Maintenance Specialist 2,4153,6,4356,4851,5420,495,1064,12244,52272,65040
Transportation Maintenance Specialist Entry,4150,6,3483,3865,4301,382,818,10091,41796,51612
Transportation Services Office Leader,333,6,4776,5345,5964,569,1188,13280,57312,71568
Transportation Services Representative 1,331,6,3964,4425,4943,461,979,11277,47568,59316
Transportation Services Representative 2,333,6,4356,4851,5420,495,1064,12244,52272,65040
Transportation Telecommunications Specialist 1,4166,6,4555,5086,5695,531,1140,12735,54660,68340
Transportation Telecommunications Specialist 2,4167,6,5019,5598,6245,579,1226,13879,60228,74940
Transporter,4403,6,3095,3427,3784,332,689,9134,37140,45408
Transporting Mental Health Aide,6101,6,3964,4425,4943,461,979,11277,47568,59316
Truck Driver 1,4401,6,3964,4425,4943,461,979,11277,47568,59316
Truck Driver 2,4403,6,4555,5086,5695,531,1140,12735,54660,68340
Veterans Service Officer,799,6,5256,5861,6549,605,1293,14464,63072,78588
Veterans Trust Officer,784,6,5256,5861,6549,605,1293,14464,63072,78588
Video Producer,3176,6,6664,7436,8314,772,1650,17936,79968,99768
Vocational Rehabilitation Counselor,6647,6,5771,6444,7206,673,1435,15734,69252,86472
Vocational Rehabilitation Counselor Entry,6646,6,4555,5086,5695,531,1140,12735,54660,68340
Vocational Rehabilitation Specialist,6648,6,6051,6763,7562,712,1511,16424,72612,90744
Water Resource Data Technician 1,8510,6,4356,4851,5420,495,1064,12244,52272,65040
Water Resource Data Technician 2,8511,6,4776,5345,5964,569,1188,13280,57312,71568
Wildland Fire Dispatcher,8364,6,3629,4036,4498,407,869,10451,43548,53976
Wildland Fire Dispatcher Entry,8363,6,3095,3427,3784,332,689,9134,37140,45408
Wildland Fire Suppression Specialist,8355,6,3964,4425,4943,461,979,11277,47568,59316
Wildland Fire Suppression Specialist Entry,8354,6,3335,3709,4118,374,783,9726,40020,49416
Word Processing Technician 2,531,6,3483,3865,4301,382,818,10091,41796,51612
Word Processing Technician 3,533,6,3790,4222,4715,432,925,10848,45480,56580
Youth Corrections Unit Coordinator,6755,6,5256,5861,6549,605,1293,14464,63072,78588
Accountant 1,1316,7,5503,6146,6866,643,1363,15073,66036,82392
Accountant 2,1317,7,6664,7436,8314,772,1650,17936,79968,99768
Accountant 3,1318,7,7678,8581,9589,903,1911,20437,92136,115068
Accounting Technician,313,7,4555,5086,5695,531,1140,12735,54660,68340
Activities Coordinator,6530,7,4555,5086,5695,531,1140,12735,54660,68340
Administrative Law Judge 1,1510,7,7678,8581,9589,903,1911,20437,92136,115068
Administrative Law Judge 2,1511,7,8870,9897,11065,1027,2195,23377,106440,132780
Administrative Law Judge 3,1513,7,10740,11999,13419,1259,2679,27989,128880,161028
Administrative Specialist 1,107,7,4155,4639,5169,484,1014,11748,49860,62028
Administrative Specialist 2,108,7,4776,5345,5964,569,1188,13280,57312,71568
Adult Protective Service Specialist,6616,7,6051,6763,7562,712,1511,16424,72612,90744
Aerial Photographer,3540,7,5771,6444,7206,673,1435,15734,69252,86472
Aircraft Pilot,8333,7,6664,7436,8314,772,1650,17936,79968,99768
Appraiser Analyst 1,735,7,4356,4851,5420,495,1064,12244,52272,65040
Appraiser Analyst 2,736,7,6051,6763,7562,712,1511,16424,72612,90744
Appraiser Analyst 3,737,7,6982,7803,8713,821,1731,18721,83784,104556
Appraiser Analyst 4,738,7,8057,8999,10065,942,2008,21372,96684,120780
Apprenticeship Representative,4380,7,5503,6146,6866,643,1363,15073,66036,82392
Automotive Fleet Attendant,4417,7,3629,4036,4498,407,869,10451,43548,53976
Automotive Technician 1,4418,7,4555,5086,5695,531,1140,12735,54660,68340
Automotive Technician 2,4419,7,5503,6146,6866,643,1363,15073,66036,82392
Behavioral Health Specialist 1,6531,7,5771,6444,7206,673,1435,15734,69252,86472
Behavioral Health Specialist 2,6534,7,6664,7436,8314,772,1650,17936,79968,99768
Behavioral Health Specialist 3,6535,7,7327,8177,9143,850,1816,19571,87924,109716
Biological Science Assistant,3769,7,3335,3709,4118,374,783,9726,40020,49416
Business & Employment Specialist 2,6699,7,5019,5598,6245,579,1226,13879,60228,74940
Carpenter,4003,7,5256,5861,6549,605,1293,14464,63072,78588
Certified Occupation Therapist Assistant,6506,7,4776,5345,5964,569,1188,13280,57312,71568
Chaplain,6680,7,5771,6444,7206,673,1435,15734,69252,86472
Chemist 1,3715,7,5771,6444,7206,673,1435,15734,69252,86472
Chemist 2,3716,7,6350,7097,7923,747,1573,17162,76200,95076
Chemist 3,3717,7,7327,8177,9143,850,1816,19571,87924,109716
Child Nutrition Specialist,5950,7,6982,7803,8713,821,1731,18721,83784,104556
Child Support Case Manager,5139,7,5019,5598,6245,579,1226,13879,60228,74940
Child Support Case Manager Entry,5138,7,4555,5086,5695,531,1140,12735,54660,68340
Child Support Specialist,5133,7,5503,6146,6866,643,1363,15073,66036,82392
Civil Engineering Specialist 1,3136,7,6051,6763,7562,712,1511,16424,72612,90744
Civil Rights Investigator 1,5340,7,5019,5598,6245,579,1226,13879,60228,74940
Civil Rights Investigator 2,5341,7,6350,7097,7923,747,1573,17162,76200,95076
Claims Representative 1,5307,7,5256,5861,6549,605,1293,14464,63072,78588
Claims Representative 2,5308,7,5771,6444,7206,673,1435,15734,69252,86472
Client Care Surveyor,6685,7,6982,7803,8713,821,1731,18721,83784,104556
Clinical Laboratory Scientist,6833,7,5771,6444,7206,673,1435,15734,69252,86472
Clinical Psychologist 1,6394,7,8870,9897,11065,1027,2195,23377,106440,132780
Clinical Psychologist 2,6395,7,9751,10908,12187,1157,2436,25550,117012,146244
Communicable Disease Analyst,5903,7,5256,5861,6549,605,1293,14464,63072,78588
Community Outreach Specialist,6614,7,6350,7097,7923,747,1573,17162,76200,95076
Compliance Specialist 1,5346,7,5019,5598,6245,579,1226,13879,60228,74940
Compliance Specialist 2,5347,7,6051,6763,7562,712,1511,16424,72612,90744
Compliance Specialist 3,5348,7,7327,8177,9143,850,1816,19571,87924,109716
Construction Inspector,3365,7,6664,7436,8314,772,1650,17936,79968,99768
Construction Project Manager 1,3367,7,6664,7436,8314,772,1650,17936,79968,99768
Construction Project Manager 2,3368,7,7678,8581,9589,903,1911,20437,92136,115068
Construction Project Manager 3,3369,7,8870,9897,11065,1027,2195,23377,106440,132780
Cook,9117,7,4155,4639,5169,484,1014,11748,49860,62028
Custodial Services Coordinator,4103,7,3483,3865,4301,382,818,10091,41796,51612
Custodian,4101,7,3095,3427,3784,332,689,9134,37140,45408
Data Entry Control Technician,1475,7,3335,3709,4118,374,783,9726,40020,49416
Data Entry Operator,501,7,3335,3709,4118,374,783,9726,40020,49416
Dental Assistant 2,6394,7,4776,5345,5964,569,1188,13280,57312,71568
Dental Hygienist,6396,7,7327,8177,9143,850,1816,19571,87924,109716
Dietitian 2,6371,7,6350,7097,7923,747,1573,17162,76200,95076
Disability Analyst 1,5936,7,5503,6146,6866,643,1363,15073,66036,82392
Disability Analyst 2,5937,7,6051,6763,7562,712,1511,16424,72612,90744
District Veterinarian,6440,7,7327,8177,9143,850,1816,19571,87924,109716
DOJ Claims Examiner,5933,7,5256,5861,6549,605,1293,14464,63072,78588
Dormitory Counselor 1,6767,7,3964,4425,4943,461,979,11277,47568,59316
Dormitory Counselor 2,6768,7,4776,5345,5964,569,1188,13280,57312,71568
Economist 1,1161,7,5503,6146,6866,643,1363,15073,66036,82392
Economist 2,1163,7,6664,7436,8314,772,1650,17936,79968,99768
Economist 3,1163,7,7678,8581,9589,903,1911,20437,92136,115068
Economist 4,1164,7,8870,9897,11065,1027,2195,23377,106440,132780
Education Program Specialist 1,3300,7,7678,8581,9589,903,1911,20437,92136,115068
Education Program Specialist 2,3301,7,8870,9897,11065,1027,2195,23377,106440,132780
Electrician 2,4008,7,6350,7097,7923,747,1573,17162,76200,95076
Electrician 3,4009,7,6982,7803,8713,821,1731,18721,83784,104556
Electronic Publishing Design Specialist 1,3510,7,4155,4639,5169,484,1014,11748,49860,62028
Electronic Publishing Design Specialist 2,3511,7,5256,5861,6549,605,1293,14464,63072,78588
Electronic Publishing Design Specialist 3,3513,7,5771,6444,7206,673,1435,15734,69252,86472
Electronic Security Technician 2,4051,7,6350,7097,7923,747,1573,17162,76200,95076
Employment Adjudicator,6693,7,5503,6146,6866,643,1363,15073,66036,82392
Employment Appeals Board Legal Staff,1543,7,7327,8177,9143,850,1816,19571,87924,109716
Engineering Technician 2,3110,7,4555,5086,5695,531,1140,12735,54660,68340
Engineering Technician 3,3111,7,5019,5598,6245,579,1226,13879,60228,74940
Environmental Engineer 2,3411,7,7678,8581,9589,903,1911,20437,92136,115068
Environmental Engineer 3,3413,7,8870,9897,11065,1027,2195,23377,106440,132780
Environmental Health Specialist 3,3819,7,6982,7803,8713,821,1731,18721,83784,104556
Epidemiologist 1,6316,7,6664,7436,8314,772,1650,17936,79968,99768
Epidemiologist 2,6317,7,7678,8581,9589,903,1911,20437,92136,115068
Epidemiologist 3,6318,7,8450,9447,10545,997,2095,22341,101400,126540
Equipment Operator,4433,7,5019,5598,6245,579,1226,13879,60228,74940
Executive Assistant,830,7,6051,6763,7562,712,1511,16424,72612,90744
Executive Support Specialist 1,118,7,4155,4639,5169,484,1014,11748,49860,62028
Executive Support Specialist 2,119,7,4776,5345,5964,569,1188,13280,57312,71568
Facilities Engineer 1,3351,7,6664,7436,8314,772,1650,17936,79968,99768
Facilities Engineer 3,3353,7,8870,9897,11065,1027,2195,23377,106440,132780
Facility Energy Technician 2,4033,7,5256,5861,6549,605,1293,14464,63072,78588
Facility Energy Technician 3,4034,7,6350,7097,7923,747,1573,17162,76200,95076
Facility Energy Technician 4,4035,7,7327,8177,9143,850,1816,19571,87924,109716
Facility Maintenance Specialist,4013,7,4356,4851,5420,495,1064,12244,52272,65040
Facility Operations Specialist 1,4014,7,5771,6444,7206,673,1435,15734,69252,86472
Facility Operations Specialist 2,4015,7,6350,7097,7923,747,1573,17162,76200,95076
Financial Enforcement Officer,1547,7,8450,9447,10545,997,2095,22341,101400,126540
Financial Examiner 1,5675,7,5771,6444,7206,673,1435,15734,69252,86472
Financial Examiner 2,5676,7,6664,7436,8314,772,1650,17936,79968,99768
Financial Examiner 3,5677,7,7678,8581,9589,903,1911,20437,92136,115068
Financial Investigator 1,5335,7,6350,7097,7923,747,1573,17162,76200,95076
Fiscal Analyst 1,1343,7,5503,6146,6866,643,1363,15073,66036,82392
Fiscal Analyst 2,1344,7,6664,7436,8314,772,1650,17936,79968,99768
Fiscal Analyst 3,1345,7,7678,8581,9589,903,1911,20437,92136,115068
Fiscal Auditor 1,5641,7,5503,6146,6866,643,1363,15073,66036,82392
Fish and Wildlife Technical Coordinator,8346,7,5019,5598,6245,579,1226,13879,60228,74940
Fish and Wildlife Technician,8341,7,4155,4639,5169,484,1014,11748,49860,62028
Fish and Wildlife Technician Entry,8340,7,3483,3865,4301,382,818,10091,41796,51612
Fish and Wildlife Technician Senior,8343,7,4555,5086,5695,531,1140,12735,54660,68340
Food Service Worker,9103,7,3483,3865,4301,382,818,10091,41796,51612
Forest Crew Coordinator,8318,7,4555,5086,5695,531,1140,12735,54660,68340
Forest Lookout,8353,7,3218,3552,3952,334,734,9437,38616,47424
Forest Management Technician,8311,7,3964,4425,4943,461,979,11277,47568,59316
Forest Officer,8357,7,5503,6146,6866,643,1363,15073,66036,82392
Geologist 2,3531,7,6350,7097,7923,747,1573,17162,76200,95076
Governmental Auditor 1,5646,7,5771,6444,7206,673,1435,15734,69252,86472
Governmental Auditor 2,5647,7,6350,7097,7923,747,1573,17162,76200,95076
Governmental Auditor 3,5648,7,7327,8177,9143,850,1816,19571,87924,109716
Grounds Maintenance Worker 1,4109,7,3629,4036,4498,407,869,10451,43548,53976
Grounds Maintenance Worker 2,4110,7,4155,4639,5169,484,1014,11748,49860,62028
Group Life Coordinator 1,6750,7,3790,4222,4715,432,925,10848,45480,56580
Group Life Coordinator 2,6751,7,4555,5086,5695,531,1140,12735,54660,68340
Hairdresser,9300,7,3629,4036,4498,407,869,10451,43548,53976
Health Care Investigator/Advisor,5911,7,6350,7097,7923,747,1573,17162,76200,95076
Health Information Specialist,15,7,4356,4851,5420,495,1064,12244,52272,65040
Heavy Equipment Technician 1,4437,7,5701,6366,7105,665,1404,15561,68412,85260
Heavy Equipment Technician 2,4438,7,6350,7097,7923,747,1573,17162,76200,95076
Human Services Assistant 2,6606,7,3964,4425,4943,461,979,11277,47568,59316
Human Services Case Manager,6630,7,5019,5598,6245,579,1226,13879,60228,74940
Human Services Specialist 1,6657,7,3790,4222,4715,432,925,10848,45480,56580
Human Services Specialist 2,6658,7,4155,4639,5169,484,1014,11748,49860,62028
Human Services Specialist 3,6659,7,4555,5086,5695,531,1140,12735,54660,68340
Human Services Specialist 4,6660,7,5256,5861,6549,605,1293,14464,63072,78588
Incident Response Operations Specialist,4165,7,4776,5345,5964,569,1188,13280,57312,71568
Industrial Hygienist 2,5706,7,6664,7436,8314,772,1650,17936,79968,99768
Industrial Hygienist 3,5707,7,7327,8177,9143,850,1816,19571,87924,109716
Industrial Hygienist 4,5708,7,8057,8999,10065,942,2008,21372,96684,120780
Information Systems Specialist 2,1483,7,5019,5598,6245,579,1226,13879,60228,74940
Information Systems Specialist 3,1483,7,5771,6444,7206,673,1435,15734,69252,86472
Information Systems Specialist 4,1484,7,6051,6763,7562,712,1511,16424,72612,90744
Information Systems Specialist 5,1485,7,6982,7803,8713,821,1731,18721,83784,104556
Information Systems Specialist 6,1486,7,7327,8177,9143,850,1816,19571,87924,109716
Information Systems Specialist 7,1487,7,7327,8177,9143,850,1816,19571,87924,109716
Information Systems Specialist 8,1488,7,8057,8999,10065,942,2008,21372,96684,120780
Institution Registered Nurse,6314,7,8964,9952,11108,988,2144,23609,107568,133296
Insurance Examiner,5748,7,7678,8581,9589,903,1911,20437,92136,115068
Insurance Examiner Entry,5747,7,6350,7097,7923,747,1573,17162,76200,95076
Investigator 1,5331,7,4555,5086,5695,531,1140,12735,54660,68340
Investigator 2,5333,7,5503,6146,6866,643,1363,15073,66036,82392
Investigator 3,5333,7,6350,7097,7923,747,1573,17162,76200,95076
Investment Analyst 1,1333,7,6664,7436,8314,772,1650,17936,79968,99768
Investment Analyst 2,1333,7,7678,8581,9589,903,1911,20437,92136,115068
Investment Analyst 3,1334,7,8870,9897,11065,1027,2195,23377,106440,132780
Juvenile Probation/Social Services Officer/Juvenile Correction Counselor,6633,7,5771,6444,7206,673,1435,15734,69252,86472
Laboratory Technician 2,6811,7,4155,4639,5169,484,1014,11748,49860,62028
Laborer/Student Worker,4116,7,3335,3709,4118,374,783,9726,40020,49416
Legal Secretary,110,7,4356,4851,5420,495,1064,12244,52272,65040
Librarian,3330,7,6350,7097,7923,747,1573,17162,76200,95076
Licensed Practical Nurse,6135,7,5493,6105,6819,612,1326,15048,65916,81828
Livestock Brand Inspector,5430,7,3790,4222,4715,432,925,10848,45480,56580
Loan Specialist 1,1001,7,5503,6146,6866,643,1363,15073,66036,82392
Loan Specialist 2,1003,7,6664,7436,8314,772,1650,17936,79968,99768
Loan Specialist 3,1003,7,7678,8581,9589,903,1911,20437,92136,115068
Machinist,4018,7,6350,7097,7923,747,1573,17162,76200,95076
Mail Delivery Driver,4404,7,3790,4222,4715,432,925,10848,45480,56580
Mail Equipment Operator 1,403,7,3335,3709,4118,374,783,9726,40020,49416
Mail Equipment Operator 2,404,7,3790,4222,4715,432,925,10848,45480,56580
Mail Services Assistant,405,7,3483,3865,4301,382,818,10091,41796,51612
Manual Arts Instructor,3304,7,4155,4639,5169,484,1014,11748,49860,62028
Medical Consultant,7538,7,11825,13215,14775,1390,2950,30665,141900,177300
Medical Laboratory Technician 1,6830,7,4356,4851,5420,495,1064,12244,52272,65040
Medical Laboratory Technician 2,6831,7,4776,5345,5964,569,1188,13280,57312,71568
Medical Review Coordinator,6310,7,8964,9952,11108,988,2144,23609,107568,133296
Mental Health Security Technician,6708,7,4155,4639,5169,484,1014,11748,49860,62028
Mental Health Therapist 1,6711,7,4155,4639,5169,484,1014,11748,49860,62028
Mental Health Therapist 2,6713,7,4555,5086,5695,531,1140,12735,54660,68340
Mental Health Therapy Coordinator,6718,7,4555,5086,5695,531,1140,12735,54660,68340
Mental Health Therapy Technician,6710,7,3790,4222,4715,432,925,10848,45480,56580
Microbiologist 1,3779,7,5503,6146,6866,643,1363,15073,66036,82392
Microbiologist 2,3780,7,6051,6763,7562,712,1511,16424,72612,90744
Microbiologist 3,3781,7,6982,7803,8713,821,1731,18721,83784,104556
Motor Carrier Enforcement Officer 1,5857,7,5019,5598,6245,579,1226,13879,60228,74940
Motor Carrier Enforcement Officer 2,5858,7,5771,6444,7206,673,1435,15734,69252,86472
Natural Resource Specialist 1,8501,7,5019,5598,6245,579,1226,13879,60228,74940
Natural Resource Specialist 2,8503,7,5771,6444,7206,673,1435,15734,69252,86472
Natural Resource Specialist 3,8503,7,6664,7436,8314,772,1650,17936,79968,99768
Natural Resource Specialist 4,8504,7,7678,8581,9589,903,1911,20437,92136,115068
Natural Resource Specialist 5,8505,7,8450,9447,10545,997,2095,22341,101400,126540
