Position,Classification_Code,Starting step,Coalition,Current monthly pay,2024 monthly pay,2025 monthly pay,2024 monthly difference (2024-current),2025 monthly difference (2025 - current),Total increase over the contract,Annual pay at current monthly pay,Annual pay at monthly pay at end of contract
Information Systems Specialist 4,1484,10,Strikeable,6982,7436,7923,454,941,18721,83784,95076
Information Systems Specialist 5,1485,10,Strikeable,8057,8581,9143,524,1086,21372,96684,109716
Information Systems Specialist 6,1486,10,Strikeable,8450,8999,9589,549,1139,22341,101400,115068
Information Systems Specialist 7,1487,10,Strikeable,8450,8999,9589,549,1139,22341,101400,115068
Information Systems Specialist 8,1488,10,Strikeable,9293,9897,10545,604,1252,24420,111516,126540
Institution Registered Nurse,6314,10,Strikeable,10254,10921,11636,667,1382,26791,123048,139632
Insurance Examiner,5748,10,Strikeable,8870,9447,10065,577,1195,23377,106440,120780
Insurance Examiner Entry,5747,10,Strikeable,7327,7803,8314,476,987,19571,87924,99768
Investigator 1,5331,10,Strikeable,5256,5598,5964,342,708,14464,63072,71568
Investigator 2,5333,10,Strikeable,6350,6763,7206,413,856,17162,76200,86472
Investigator 3,5333,10,Strikeable,7327,7803,8314,476,987,19571,87924,99768
Investment Analyst 1,1333,10,Strikeable,7678,8177,8713,499,1035,20437,92136,104556
Investment Analyst 2,1333,10,Strikeable,8870,9447,10065,577,1195,23377,106440,120780
Investment Analyst 3,1334,10,Strikeable,10242,10908,11622,666,1380,26761,122904,139464
Juvenile Probation/Social Services Officer/Juvenile Correction Counselor,6633,10,Strikeable,6664,7097,7562,433,898,17936,79968,90744
Laboratory Technician 2,6811,10,Strikeable,4776,5086,5420,310,644,13280,57312,65040
Laborer/Student Worker,4116,10,Strikeable,3790,4036,4301,246,511,10848,45480,51612
Legal Secretary,110,10,Strikeable,5019,5345,5695,326,676,13879,60228,68340
Librarian,3330,10,Strikeable,7327,7803,8314,476,987,19571,87924,99768
Licensed Practical Nurse,6135,10,Strikeable,6298,6707,7147,409,849,17034,75576,85764
Livestock Brand Inspector,5430,10,Strikeable,4356,4639,4943,283,587,12244,52272,59316
Loan Specialist 1,1001,10,Strikeable,6350,6763,7206,413,856,17162,76200,86472
Loan Specialist 2,1003,10,Strikeable,7678,8177,8713,499,1035,20437,92136,104556
Loan Specialist 3,1003,10,Strikeable,8870,9447,10065,577,1195,23377,106440,120780
Machinist,4018,10,Strikeable,7327,7803,8314,476,987,19571,87924,99768
Mail Delivery Driver,4404,10,Strikeable,4356,4639,4943,283,587,12244,52272,59316
Mail Equipment Operator 1,403,10,Strikeable,3790,4036,4301,246,511,10848,45480,51612
Mail Equipment Operator 2,404,10,Strikeable,4356,4639,4943,283,587,12244,52272,59316
Mail Services Assistant,405,10,Strikeable,3964,4222,4498,258,534,11277,47568,53976
Manual Arts Instructor,3304,10,Strikeable,4776,5086,5420,310,644,13280,57312,65040
Medical Consultant,7538,10,Strikeable,13662,14550,15503,888,1841,35196,163944,186036
Medical Laboratory Technician 1,6830,10,Strikeable,5019,5345,5695,326,676,13879,60228,68340
Medical Laboratory Technician 2,6831,10,Strikeable,5503,5861,6245,358,742,15073,66036,74940
Medical Review Coordinator,6310,10,Strikeable,10254,10921,11636,667,1382,26791,123048,139632
Mental Health Security Technician,6708,10,Strikeable,4776,5086,5420,310,644,13280,57312,65040
Mental Health Therapist 1,6711,10,Strikeable,4776,5086,5420,310,644,13280,57312,65040
Mental Health Therapist 2,6713,10,Strikeable,5256,5598,5964,342,708,14464,63072,71568
Mental Health Therapy Coordinator,6718,10,Strikeable,5256,5598,5964,342,708,14464,63072,71568
Mental Health Therapy Technician,6710,10,Strikeable,4356,4639,4943,283,587,12244,52272,59316
Microbiologist 1,3779,10,Strikeable,6350,6763,7206,413,856,17162,76200,86472
Microbiologist 2,3780,10,Strikeable,6982,7436,7923,454,941,18721,83784,95076
Microbiologist 3,3781,10,Strikeable,8057,8581,9143,524,1086,21372,96684,109716
Motor Carrier Enforcement Officer 1,5857,10,Strikeable,5771,6146,6549,375,778,15734,69252,78588
Motor Carrier Enforcement Officer 2,5858,10,Strikeable,6664,7097,7562,433,898,17936,79968,90744
Natural Resource Specialist 1,8501,10,Strikeable,5771,6146,6549,375,778,15734,69252,78588
Natural Resource Specialist 2,8503,10,Strikeable,6664,7097,7562,433,898,17936,79968,90744
Natural Resource Specialist 3,8503,10,Strikeable,7678,8177,8713,499,1035,20437,92136,104556
Natural Resource Specialist 4,8504,10,Strikeable,8870,9447,10065,577,1195,23377,106440,120780
Natural Resource Specialist 5,8505,10,Strikeable,9751,10385,11065,634,1314,25550,117012,132780
Nutrition Consultant,5955,10,Strikeable,8450,8999,9589,549,1139,22341,101400,115068
Occupational Safety Specialist 1,5709,10,Strikeable,6051,6444,6866,393,815,16424,72612,82392
Occupational Safety Specialist 2,5710,10,Strikeable,7678,8177,8713,499,1035,20437,92136,104556
Occupational Safety Specialist 3,5711,10,Strikeable,8450,8999,9589,549,1139,22341,101400,115068
Occupational Therapist,6508,10,Strikeable,9751,10385,11065,634,1314,25550,117012,132780
Office Assistant 1,101,10,Strikeable,3218,3427,3652,209,434,9437,38616,43824
Office Assistant 2,103,10,Strikeable,3483,3709,3952,226,469,10091,41796,47424
Office Coordinator,801,10,Strikeable,4356,4639,4943,283,587,12244,52272,59316
Office Specialist 1,103,10,Strikeable,3964,4222,4498,258,534,11277,47568,53976
Office Specialist 2,104,10,Strikeable,4356,4639,4943,283,587,12244,52272,59316
Operations & Policy Analyst 1,870,10,Strikeable,6350,6763,7206,413,856,17162,76200,86472
Operations & Policy Analyst 2,871,10,Strikeable,7678,8177,8713,499,1035,20437,92136,104556
Operations & Policy Analyst 3,873,10,Strikeable,8870,9447,10065,577,1195,23377,106440,120780
Operations & Policy Analyst 4,873,10,Strikeable,9751,10385,11065,634,1314,25550,117012,132780
Painter,4001,10,Strikeable,6051,6444,6866,393,815,16424,72612,82392
Paralegal,1534,10,Strikeable,7327,7803,8314,476,987,19571,87924,99768
Park Ranger 1,8434,10,Strikeable,5007,5332,5682,325,675,13849,60084,68184
Park Ranger 2,8435,10,Strikeable,5503,5861,6245,358,742,15073,66036,74940
Park Ranger 3,8436,10,Strikeable,6051,6444,6866,393,815,16424,72612,82392
Park Ranger Assistant,8433,10,Strikeable,3790,4036,4301,246,511,10848,45480,51612
Park Specialist,8445,10,Strikeable,4776,5086,5420,310,644,13280,57312,65040
Parking Services Representative,5550,10,Strikeable,4155,4425,4715,270,560,11748,49860,56580
Parts Specialist 2,783,10,Strikeable,5503,5861,6245,358,742,15073,66036,74940
Payroll Analyst,314,10,Strikeable,5771,6146,6549,375,778,15734,69252,78588
Pharmacist,6360,10,Strikeable,13662,14550,15503,888,1841,35196,163944,186036
Pharmacist 2,6363,10,Strikeable,15046,16024,17074,978,2028,38610,180552,204888
Pharmacist Resident,6361,10,Strikeable,6350,6763,7206,413,856,17162,76200,86472
Pharmacy Clerk & Technician 2,6388,10,Strikeable,4555,4851,5169,296,614,12735,54660,62028
Pharmacy Clerk & Technician 3,6389,10,Strikeable,4776,5086,5420,310,644,13280,57312,65040
Physical Therapist,6503,10,Strikeable,9293,9897,10545,604,1252,24420,111516,126540
Physical/Electronic Security Technician,4037,10,Strikeable,5503,5861,6245,358,742,15073,66036,74940
Physical/Electronic Security Technician 3,4039,10,Strikeable,6664,7097,7562,433,898,17936,79968,90744
Physician's Assistant,6357,10,Strikeable,10242,10908,11622,666,1380,26761,122904,139464
Planner 2,1097,10,Strikeable,7678,8177,8713,499,1035,20437,92136,104556
Plumber,4005,10,Strikeable,6664,7097,7562,433,898,17936,79968,90744
Preadmissions Screening Specialist,6684,10,Strikeable,6664,7097,7562,433,898,17936,79968,90744
Print Services Technician,3446,10,Strikeable,4555,4851,5169,296,614,12735,54660,62028
Printing Production Coordinator,3475,10,Strikeable,6350,6763,7206,413,856,17162,76200,86472
Procurement & Contract Specialist 1,436,10,Strikeable,6350,6763,7206,413,856,17162,76200,86472
Procurement & Contract Specialist 2,437,10,Strikeable,7678,8177,8713,499,1035,20437,92136,104556
Procurement & Contract Specialist 3,438,10,Strikeable,8450,8999,9589,549,1139,22341,101400,115068
Procurement And Contract Assistant,435,10,Strikeable,5256,5598,5964,342,708,14464,63072,71568
Program Analyst 1,860,10,Strikeable,6350,6763,7206,413,856,17162,76200,86472
Program Analyst 2,861,10,Strikeable,7678,8177,8713,499,1035,20437,92136,104556
Program Analyst 3,863,10,Strikeable,8450,8999,9589,549,1139,22341,101400,115068
Program Analyst 4,863,10,Strikeable,9293,9897,10545,604,1252,24420,111516,126540
Project Manager 1,854,10,Strikeable,7678,8177,8713,499,1035,20437,92136,104556
Project Manager 2,855,10,Strikeable,8870,9447,10065,577,1195,23377,106440,120780
Project Manager 3,856,10,Strikeable,9751,10385,11065,634,1314,25550,117012,132780
Psychiatric Social Worker,6730,10,Strikeable,8450,8999,9589,549,1139,22341,101400,115068
Public Affairs Specialist 1,864,10,Strikeable,6982,7436,7923,454,941,18721,83784,95076
Public Affairs Specialist 2,865,10,Strikeable,8450,8999,9589,549,1139,22341,101400,115068
Public Affairs Specialist 3,866,10,Strikeable,9293,9897,10545,604,1252,24420,111516,126540
Public Health Educator 1,3337,10,Strikeable,6664,7097,7562,433,898,17936,79968,90744
Public Health Educator 2,3338,10,Strikeable,7327,7803,8314,476,987,19571,87924,99768
Public Health Nurse 2,6339,10,Strikeable,10254,10921,11636,667,1382,26791,123048,139632
Public Health Toxicologist 1,3433,10,Strikeable,8450,8999,9589,549,1139,22341,101400,115068
Public Service Representative 2,333,10,Strikeable,3964,4222,4498,258,534,11277,47568,53976
Public Service Representative 3,333,10,Strikeable,4356,4639,4943,283,587,12244,52272,59316
Public Service Representative 4,334,10,Strikeable,5503,5861,6245,358,742,15073,66036,74940
Radiologic Technologist,6348,10,Strikeable,6982,7436,7923,454,941,18721,83784,95076
Rehabilitation Instructor For The Blind,3333,10,Strikeable,6350,6763,7206,413,856,17162,76200,86472
Rehabilitation Instructor For The Blind (Entry),3333,10,Strikeable,5771,6146,6549,375,778,15734,69252,78588
Rehabilitation Therapist,6531,10,Strikeable,6664,7097,7562,433,898,17936,79968,90744
Research Analyst 1,1115,10,Strikeable,5256,5598,5964,342,708,14464,63072,71568
Research Analyst 2,1116,10,Strikeable,6350,6763,7206,413,856,17162,76200,86472
Research Analyst 3,1117,10,Strikeable,7327,7803,8314,476,987,19571,87924,99768
Research Analyst 4,1118,10,Strikeable,8870,9447,10065,577,1195,23377,106440,120780
Retirement Counselor 1,841,10,Strikeable,5503,5861,6245,358,742,15073,66036,74940
Retirement Counselor 2,843,10,Strikeable,6051,6444,6866,393,815,16424,72612,82392
Revenue Agent 1,5110,10,Strikeable,4776,5086,5420,310,644,13280,57312,65040
Revenue Agent 2,5111,10,Strikeable,5256,5598,5964,342,708,14464,63072,71568
Revenue Agent 3,5113,10,Strikeable,5771,6146,6549,375,778,15734,69252,78588
Safety Specialist 1,1345,10,Strikeable,6350,6763,7206,413,856,17162,76200,86472
Safety Specialist 2,1346,10,Strikeable,7678,8177,8713,499,1035,20437,92136,104556
Scientific Instrument Technician,4339,10,Strikeable,5771,6146,6549,375,778,15734,69252,78588
Seamster,9301,10,Strikeable,4356,4639,4943,283,587,12244,52272,59316
Securities Examiner,5671,10,Strikeable,8870,9447,10065,577,1195,23377,106440,120780
Shipping Point Inspector 1,5450,10,Strikeable,4356,4639,4943,283,587,12244,52272,59316
Shipping Point Inspector 2,5451,10,Strikeable,4776,5086,5420,310,644,13280,57312,65040
Sign Technician 1,4131,10,Strikeable,5256,5598,5964,342,708,14464,63072,71568
Social Service Assistant,6609,10,Strikeable,4776,5086,5420,310,644,13280,57312,65040
Social Service Specialist 1,6613,10,Strikeable,6982,7436,7923,454,941,18721,83784,95076
Social Services Specialist 2,6613,10,Strikeable,7678,8177,8713,499,1035,20437,92136,104556
State Library Specialist 1,351,10,Strikeable,3790,4036,4301,246,511,10848,45480,51612
State Library Specialist 2,353,10,Strikeable,5019,5345,5695,326,676,13879,60228,68340
State Procurement Analyst,770,10,Strikeable,8870,9447,10065,577,1195,23377,106440,120780
Student Office Worker,100,10,Strikeable,3095,4301,4301,1206,1206,9134,37140,51612
Supply Specialist 1,758,10,Strikeable,4155,4425,4715,270,560,11748,49860,56580
Supply Specialist 2,759,10,Strikeable,5503,5861,6245,358,742,15073,66036,74940
Tax Auditor 1,5631,10,Strikeable,6982,7436,7923,454,941,18721,83784,95076
Tax Auditor 2,5633,10,Strikeable,8057,8581,9143,524,1086,21372,96684,109716
Tax Auditor/Entry,5630,10,Strikeable,5503,5861,6245,358,742,15073,66036,74940
Teaching Assistant,3303,10,Strikeable,4356,4639,4943,283,587,12244,52272,59316
Traffic Survey Interviewer,1105,10,Strikeable,3218,3427,3652,209,434,9437,38616,43824
Training & Development Specialist 1,1338,10,Strikeable,6350,6763,7206,413,856,17162,76200,86472
Training & Development Specialist 2,1339,10,Strikeable,7678,8177,8713,499,1035,20437,92136,104556
Transportation Maintenance Coordinator 1,4161,10,Strikeable,5771,6146,6549,375,778,15734,69252,78588
Transportation Maintenance Coordinator 2,4163,10,Strikeable,6051,6444,6866,393,815,16424,72612,82392
Transportation Maintenance Specialist 1,4151,10,Strikeable,4776,5086,5420,310,644,13280,57312,65040
Transportation Maintenance Specialist 2,4153,10,Strikeable,5256,5598,5964,342,708,14464,63072,71568
Transportation Maintenance Specialist Entry,4150,10,Strikeable,4155,4425,4715,270,560,11748,49860,56580
Transportation Services Office Leader,333,10,Strikeable,5771,6146,6549,375,778,15734,69252,78588
Transportation Services Representative 1,331,10,Strikeable,4776,5086,5420,310,644,13280,57312,65040
Transportation Services Representative 2,333,10,Strikeable,5256,5598,5964,342,708,14464,63072,71568
Transportation Telecommunications Specialist 1,4166,10,Strikeable,5503,5861,6245,358,742,15073,66036,74940
Transportation Telecommunications Specialist 2,4167,10,Strikeable,6051,6444,6866,393,815,16424,72612,82392
Transporter,4403,10,Strikeable,3629,3865,4118,236,489,10451,43548,49416
Transporting Mental Health Aide,6101,10,Strikeable,4776,5086,5420,310,644,13280,57312,65040
Truck Driver 1,4401,10,Strikeable,4776,5086,5420,310,644,13280,57312,65040
Truck Driver 2,4403,10,Strikeable,5503,5861,6245,358,742,15073,66036,74940
Veterans Service Officer,799,10,Strikeable,6350,6763,7206,413,856,17162,76200,86472
Veterans Trust Officer,784,10,Strikeable,6350,6763,7206,413,856,17162,76200,86472
Video Producer,3176,10,Strikeable,8057,8581,9143,524,1086,21372,96684,109716
Vocational Rehabilitation Counselor,6647,10,Strikeable,6982,7436,7923,454,941,18721,83784,95076
Vocational Rehabilitation Counselor Entry,6646,10,Strikeable,5503,5861,6245,358,742,15073,66036,74940
Vocational Rehabilitation Specialist,6648,10,Strikeable,7327,7803,8314,476,987,19571,87924,99768
Water Resource Data Technician 1,8510,10,Strikeable,5256,5598,5964,342,708,14464,63072,71568
Water Resource Data Technician 2,8511,10,Strikeable,5771,6146,6549,375,778,15734,69252,78588
Wildland Fire Dispatcher,8364,10,Strikeable,4356,4639,4943,283,587,12244,52272,59316
Wildland Fire Dispatcher Entry,8363,10,Strikeable,3629,3865,4118,236,489,10451,43548,49416
Wildland Fire Suppression Specialist,8355,10,Strikeable,4776,5086,5420,310,644,13280,57312,65040
Wildland Fire Suppression Specialist Entry,8354,10,Strikeable,3964,4222,4498,258,534,11277,47568,53976
Word Processing Technician 2,531,10,Strikeable,4155,4425,4715,270,560,11748,49860,56580
Word Processing Technician 3,533,10,Strikeable,4555,4851,5169,296,614,12735,54660,62028
Youth Corrections Unit Coordinator,6755,10,Strikeable,6350,6763,7206,413,856,17162,76200,86472
Behavioral Health Specialist 3,6535,1,Non-strikeable,5920,6305,6717.7644,385,798,16101,71040,80613
Chemist 3,3717,1,Non-strikeable,5920,6305,6717.7644,385,798,16101,71040,80613
Compliance Specialist 3,5348,1,Non-strikeable,5920,6305,6717.7644,385,798,16101,71040,80613
Dental Hygienist,6396,1,Non-strikeable,5920,6305,6717.7644,385,798,16101,71040,80613
District Veterinarian,6440,1,Non-strikeable,5920,6305,6717.7644,385,798,16101,71040,80613
Employment Appeals Board Legal Staff,1543,1,Non-strikeable,5920,6305,6717.7644,385,798,16101,71040,80613
Facility Energy Technician 4,4035,1,Non-strikeable,5920,6305,6717.7644,385,798,16101,71040,80613
Governmental Auditor 3,5648,1,Non-strikeable,5920,6305,6717.7644,385,798,16101,71040,80613
Industrial Hygienist 3,5707,1,Non-strikeable,5920,6305,6717.7644,385,798,16101,71040,80613
Information Systems Specialist 6,1486,1,Non-strikeable,5920,6305,6717.7644,385,798,16101,71040,80613
Information Systems Specialist 7,1487,1,Non-strikeable,5920,6305,6717.7644,385,798,16101,71040,80613
Nutrition Consultant,5955,1,Non-strikeable,5920,6305,6717.7644,385,798,16101,71040,80613
Occupational Safety Specialist 3,5711,1,Non-strikeable,5920,6305,6717.7644,385,798,16101,71040,80613
Procurement & Contract Specialist 3,438,1,Non-strikeable,5920,6305,6717.7644,385,798,16101,71040,80613
Program Analyst 3,863,1,Non-strikeable,5920,6305,6717.7644,385,798,16101,71040,80613
Psychiatric Social Worker,6730,1,Non-strikeable,5920,6305,6717.7644,385,798,16101,71040,80613
Public Affairs Specialist 2,865,1,Non-strikeable,5920,6305,6717.7644,385,798,16101,71040,80613
Public Health Toxicologist 1,3433,1,Non-strikeable,5920,6305,6717.7644,385,798,16101,71040,80613
Accountant 1,1316,1,Non-strikeable,4547,4843,5159.742353,296,613,12715,54564,61917
Apprenticeship Representative,4380,1,Non-strikeable,4547,4843,5159.742353,296,613,12715,54564,61917
Automotive Technician 2,4419,1,Non-strikeable,4547,4843,5159.742353,296,613,12715,54564,61917
Child Support Specialist,5133,1,Non-strikeable,4547,4843,5159.742353,296,613,12715,54564,61917
Disability Analyst 1,5936,1,Non-strikeable,4547,4843,5159.742353,296,613,12715,54564,61917
Economist 1,1161,1,Non-strikeable,4547,4843,5159.742353,296,613,12715,54564,61917
Employment Adjudicator,6693,1,Non-strikeable,4547,4843,5159.742353,296,613,12715,54564,61917
Fiscal Analyst 1,1343,1,Non-strikeable,4547,4843,5159.742353,296,613,12715,54564,61917
Fiscal Auditor 1,5641,1,Non-strikeable,4547,4843,5159.742353,296,613,12715,54564,61917
Forest Officer,8357,1,Non-strikeable,4547,4843,5159.742353,296,613,12715,54564,61917
Investigator 2,5333,1,Non-strikeable,4547,4843,5159.742353,296,613,12715,54564,61917
