Position,Classification_Code,Starting step,Coalition,Current monthly pay,2024 monthly pay,2025 monthly pay,2024 monthly difference (2024-current),2025 monthly difference (2025 - current),Annual pay at current monthly pay,Annual pay at monthly pay at end of contract
Revenue Agent 3,,7,Strikeable,5019,5598,6245,579,1226,60228,74940
Safety Specialist 1,,7,Strikeable,5503,6146,6866,643,1363,66036,82392
Safety Specialist 2,,7,Strikeable,6664,7436,8314,772,1650,79968,99768
Scientific Instrument Technician,,7,Strikeable,5019,5598,6245,579,1226,60228,74940
Seamster,,7,Strikeable,3790,4222,4715,432,925,45480,56580
Securities Examiner,,7,Strikeable,7678,8581,9589,903,1911,92136,115068
Shipping Point Inspector 1,,7,Strikeable,3790,4222,4715,432,925,45480,56580
Shipping Point Inspector 2,,7,Strikeable,4155,4639,5169,484,1014,49860,62028
Sign Technician 1,,7,Strikeable,4555,5086,5695,531,1140,54660,68340
Social Service Assistant,,7,Strikeable,4155,4639,5169,484,1014,49860,62028
Social Service Specialist 1,,7,Strikeable,6051,6763,7562,712,1511,72612,90744
Social Services Specialist 2,,7,Strikeable,6664,7436,8314,772,1650,79968,99768
State Library Specialist 1,,7,Strikeable,3335,3709,4118,374,783,40020,49416
State Library Specialist 2,,7,Strikeable,4356,4851,5420,495,1064,52272,65040
State Procurement Analyst,,7,Strikeable,7678,8581,9589,903,1911,92136,115068
Student Office Worker,,7,Strikeable,0,4036,4301,4036,4301,0,51612
Supply Specialist 1,,7,Strikeable,3629,4036,4498,407,869,43548,53976
Supply Specialist 2,,7,Strikeable,4776,5345,5964,569,1188,57312,71568
Tax Auditor 1,,7,Strikeable,6051,6763,7562,712,1511,72612,90744
Tax Auditor 2,,7,Strikeable,6982,7803,8713,821,1731,83784,104556
Tax Auditor/Entry,,7,Strikeable,4776,5345,5964,569,1188,57312,71568
Teaching Assistant,,7,Strikeable,3790,4222,4715,432,925,45480,56580
Traffic Survey Interviewer,,7,Strikeable,0,,,,,0,
Training & Development Specialist 1,,7,Strikeable,5771,6146,6866,375,1095,69252,82392
Training & Development Specialist 2,,7,Strikeable,6982,7436,8314,454,1332,83784,99768
Transportation Maintenance Coordinator 2,,7,Strikeable,5256,5861,6549,605,1293,63072,78588
Transportation Maintenance Specialist 1,,7,Strikeable,4356,4639,5169,283,813,52272,62028
Transportation Maintenance Specialist 2,,7,Strikeable,4776,5086,5695,310,919,57312,68340
Transportation Maintenance Specialist Entry,,7,Strikeable,3629,4036,4498,407,869,43548,53976
Transportation Services Office Leader,,7,Strikeable,5019,5598,6245,579,1226,60228,74940
Transportation Services Representative 1,,7,Strikeable,4155,4639,5169,484,1014,49860,62028
Transportation Services Representative 2,,7,Strikeable,4555,5086,5695,531,1140,54660,68340
Transportation Telecommunications Specialist 1,,7,Strikeable,4776,5345,5964,569,1188,57312,71568
Transportation Telecommunications Specialist 2,,7,Strikeable,5256,5861,6549,605,1293,63072,78588
Transporter,,7,Strikeable,3218,3552,3952,334,734,38616,47424
Transporting Mental Health Aide,,7,Strikeable,4155,4639,5169,484,1014,49860,62028
Truck Driver 1,,7,Strikeable,4155,4639,5169,484,1014,49860,62028
Truck Driver 2,,7,Strikeable,4776,5345,5964,569,1188,57312,71568
Veterans Service Officer,,7,Strikeable,5503,6146,6866,643,1363,66036,82392
Veterans Trust Officer,,7,Strikeable,5503,6146,6866,643,1363,66036,82392
Video Producer,,7,Strikeable,6982,7803,8713,821,1731,83784,104556
Vocational Rehabilitation Counselor,,7,Strikeable,6051,6763,7562,712,1511,72612,90744
Vocational Rehabilitation Counselor Entry,,7,Strikeable,4776,5345,5964,569,1188,57312,71568
Vocational Rehabilitation Specialist,,7,Strikeable,6350,7097,7923,747,1573,76200,95076
Water Resource Data Technician 1,,7,Strikeable,4555,5086,5695,531,1140,54660,68340
Water Resource Data Technician 2,,7,Strikeable,5019,5598,6245,579,1226,60228,74940
Wildland Fire Dispatcher,,7,Strikeable,3790,4222,4715,432,925,45480,56580
Wildland Fire Dispatcher Entry,,7,Strikeable,0,4036,4301,4036,4301,0,51612
Wildland Fire Suppression Specialist,,7,Strikeable,4155,4639,5169,484,1014,49860,62028
Wildland Fire Suppression Specialist Entry,,7,Strikeable,3483,3865,4301,382,818,41796,51612
Word Processing Technician 2,,7,Strikeable,3629,4036,4498,407,869,43548,53976
Word Processing Technician 3,,7,Strikeable,3964,4425,4943,461,979,47568,59316
Youth Corrections Unit Coordinator,,7,Strikeable,5503,6146,6866,643,1363,66036,82392
Accountant 1,,7,Non-Strikeable,6031,6728.67,6843.722483,698,813,72372,82125
Accounting Technician,,7,Non-Strikeable,4994,5571.015,5666.978955,577,673,59928,68004
Activities Coordinator,,7,Non-Strikeable,4994,5571.015,5666.978955,577,673,59928,68004
Administrative Specialist 1,,7,Non-Strikeable,4547,5075.79,5159.742353,529,613,54564,61917
Administrative Specialist 2,,7,Non-Strikeable,5231,5848.98,5935.916483,618,705,62772,71231
Apprenticeship Representative,,7,Non-Strikeable,6031,6728.67,6843.722483,698,813,72372,82125
Automotive Fleet Attendant,,7,Non-Strikeable,3959,4417.62,4492.504943,459,534,47508,53910
Automotive Technician 1,,7,Non-Strikeable,4994,5571.015,5666.978955,577,673,59928,68004
Automotive Technician 2,,7,Non-Strikeable,6031,6728.67,6843.722483,698,813,72372,82125
Behavioral Health Specialist 3,,7,Non-Strikeable,7845,8754.3,8902.172588,909,1057,94140,106826
Biological Science Assistant,,7,Non-Strikeable,3604,4025.7,4089.66603,422,486,43248,49076
Business & Employment Specialist 2,,7,Non-Strikeable,5492,6128.01,6232.08819,636,740,65904,74785
Certified Occupation Therapist Assistant,,7,Non-Strikeable,5231,5848.98,5935.916483,618,705,62772,71231
Chemist 3,,7,Non-Strikeable,7845,8754.3,8902.172588,909,1057,94140,106826
Child Support Case Manager,,7,Non-Strikeable,5492,6128.01,6232.08819,636,740,65904,74785
Child Support Case Manager Entry,,7,Non-Strikeable,4994,5571.015,5666.978955,577,673,59928,68004
Child Support Specialist,,7,Non-Strikeable,6031,6728.67,6843.722483,698,813,72372,82125
Civil Rights Investigator 1,,7,Non-Strikeable,5492,6128.01,6232.08819,636,740,65904,74785
Compliance Specialist 1,,7,Non-Strikeable,5492,6128.01,6232.08819,636,740,65904,74785
Compliance Specialist 3,,7,Non-Strikeable,7845,8754.3,8902.172588,909,1057,94140,106826
Cook,,7,Non-Strikeable,4547,5075.79,5159.742353,529,613,54564,61917
Custodial Services Coordinator,,7,Non-Strikeable,3780,4216.335,4289.38335,436,509,45360,51473
Data Entry Control Technician,,7,Non-Strikeable,3604,4025.7,4089.66603,422,486,43248,49076
Data Entry Operator,,7,Non-Strikeable,3604,4025.7,4089.66603,422,486,43248,49076
Dental Assistant 2,,7,Non-Strikeable,5231,5848.98,5935.916483,618,705,62772,71231
Dental Hygienist,,7,Non-Strikeable,7845,8754.3,8902.172588,909,1057,94140,106826
Disability Analyst 1,,7,Non-Strikeable,6031,6728.67,6843.722483,698,813,72372,82125
District Veterinarian,,7,Non-Strikeable,7845,8754.3,8902.172588,909,1057,94140,106826
DOJ Claims Examiner,,7,Non-Strikeable,5754,6423.015,7169.397885,669,1415,69048,86033
Dormitory Counselor 1,,7,Non-Strikeable,4337,4842.555,4921.443278,506,584,52044,59057
Dormitory Counselor 2,,7,Non-Strikeable,5231,5848.98,5935.916483,618,705,62772,71231
Economist 1,,7,Non-Strikeable,6031,6728.67,6843.722483,698,813,72372,82125
Electronic Publishing Design Specialist 1,,7,Non-Strikeable,4547,5075.79,5159.742353,529,613,54564,61917
Employment Adjudicator,,7,Non-Strikeable,6031,6728.67,6843.722483,698,813,72372,82125
Employment Appeals Board Legal Staff,,7,Non-Strikeable,7845,8754.3,8902.172588,909,1057,94140,106826
Engineering Technician 2,,7,Non-Strikeable,4994,5571.015,5666.978955,577,673,59928,68004
Engineering Technician 3,,7,Non-Strikeable,5492,6128.01,6232.08819,636,740,65904,74785
Equipment Operator,,7,Non-Strikeable,5492,6128.01,6232.08819,636,740,65904,74785
Executive Support Specialist 1,,7,Non-Strikeable,4547,5075.79,5159.742353,529,613,54564,61917
Executive Support Specialist 2,,7,Non-Strikeable,5231,5848.98,5935.916483,618,705,62772,71231
Facility Energy Technician 4,,7,Non-Strikeable,7845,8754.3,8902.172588,909,1057,94140,106826
Fiscal Analyst 1,,7,Non-Strikeable,6031,6728.67,6843.722483,698,813,72372,82125
Fiscal Auditor 1,,7,Non-Strikeable,6031,6728.67,6843.722483,698,813,72372,82125
Fish and Wildlife Technical Coordinator,,7,Non-Strikeable,5492,6128.01,6232.08819,636,740,65904,74785
Fish and Wildlife Technician,,7,Non-Strikeable,4547,5075.79,5159.742353,529,613,54564,61917
Fish and Wildlife Technician Entry,,7,Non-Strikeable,3780,4216.335,4289.38335,436,509,45360,51473
Fish and Wildlife Technician Senior,,7,Non-Strikeable,4994,5571.015,5666.978955,577,673,59928,68004
Food Service Worker,,7,Non-Strikeable,3780,4216.335,4289.38335,436,509,45360,51473
Forest Crew Coordinator,,7,Non-Strikeable,4994,5571.015,5666.978955,577,673,59928,68004
Forest Lookout,,7,Non-Strikeable,3477,3838.26,3945.551828,361,469,41724,47347
Forest Management Technician,,7,Non-Strikeable,4337,4842.555,4921.443278,506,584,52044,59057
Forest Officer,,7,Non-Strikeable,6031,6728.67,6843.722483,698,813,72372,82125
Governmental Auditor 3,,7,Non-Strikeable,7845,8754.3,8902.172588,909,1057,94140,106826
Grounds Maintenance Worker 1,,7,Non-Strikeable,3959,4417.62,4492.504943,459,534,47508,53910
Grounds Maintenance Worker 2,,7,Non-Strikeable,4547,5075.79,5159.742353,529,613,54564,61917
Group Life Coordinator 1,,7,Non-Strikeable,4148,4618.905,4706.97411,471,559,49776,56484
Group Life Coordinator 2,,7,Non-Strikeable,4994,5571.015,5666.978955,577,673,59928,68004
Human Services Assistant 2,,7,Non-Strikeable,4337,4842.555,4921.443278,506,584,52044,59057
Human Services Case Manager,,7,Non-Strikeable,5492,6128.01,6232.08819,636,740,65904,74785
Human Services Specialist 1,,7,Non-Strikeable,4148,4618.905,4706.97411,471,559,49776,56484
Human Services Specialist 2,,7,Non-Strikeable,4547,5075.79,5159.742353,529,613,54564,61917
Human Services Specialist 3,,7,Non-Strikeable,4994,5571.015,5666.978955,577,673,59928,68004
Incident Response Operations Specialist,,7,Non-Strikeable,5231,5848.98,5935.916483,618,705,62772,71231
Industrial Hygienist 3,,7,Non-Strikeable,7845,8754.3,8902.172588,909,1057,94140,106826
Investigator 1,,7,Non-Strikeable,4994,5571.015,5666.978955,577,673,59928,68004
Investigator 2,,7,Non-Strikeable,6031,6728.67,6843.722483,698,813,72372,82125
Laboratory Technician 2,,7,Non-Strikeable,4547,5075.79,5159.742353,529,613,54564,61917
Laborer/Student Worker,,7,Non-Strikeable,3604,4025.7,4089.66603,422,486,43248,49076
Licensed Practical Nurse,,7,Non-Strikeable,5242,5830.875,5948.398815,589,706,62904,71381
Livestock Brand Inspector,,7,Non-Strikeable,4148,4618.905,4706.97411,471,559,49776,56484
Loan Specialist 1,,7,Non-Strikeable,6031,6728.67,6843.722483,698,813,72372,82125
Mail Delivery Driver,,7,Non-Strikeable,4148,4618.905,4706.97411,471,559,49776,56484
Mail Equipment Operator 1,,7,Non-Strikeable,3604,4025.7,4089.66603,422,486,43248,49076
Mail Equipment Operator 2,,7,Non-Strikeable,4148,4618.905,4706.97411,471,559,49776,56484
Mail Services Assistant,,7,Non-Strikeable,3780,4216.335,4289.38335,436,509,45360,51473
Manual Arts Instructor,,7,Non-Strikeable,4547,5075.79,5159.742353,529,613,54564,61917
Medical Laboratory Technician 2,,7,Non-Strikeable,5231,5848.98,5935.916483,618,705,62772,71231
Mental Health Security Technician,,7,Non-Strikeable,4547,5075.79,5159.742353,529,613,54564,61917
Mental Health Therapist 1,,7,Non-Strikeable,4547,5075.79,5159.742353,529,613,54564,61917
Mental Health Therapist 2,,7,Non-Strikeable,4994,5571.015,5666.978955,577,673,59928,68004
Mental Health Therapy Coordinator,,7,Non-Strikeable,4994,5571.015,5666.978955,577,673,59928,68004
Mental Health Therapy Technician,,7,Non-Strikeable,4148,4618.905,4706.97411,471,559,49776,56484
Microbiologist 1,,7,Non-Strikeable,6031,6728.67,6843.722483,698,813,72372,82125
Motor Carrier Enforcement Officer 1,,7,Non-Strikeable,5492,6128.01,6232.08819,636,740,65904,74785
Nutrition Consultant,,7,Non-Strikeable,7845,8754.3,8902.172588,909,1057,94140,106826
Occupational Safety Specialist 3,,7,Non-Strikeable,7845,8754.3,8902.172588,909,1057,94140,106826
Office Coordinator,,7,Non-Strikeable,4148,4618.905,4706.97411,471,559,49776,56484
Office Specialist 1,,7,Non-Strikeable,3780,4216.335,4289.38335,436,509,45360,51473
Office Specialist 2,,7,Non-Strikeable,4148,4618.905,4706.97411,471,559,49776,56484
Operations & Policy Analyst 1,,7,Non-Strikeable,6031,6728.67,6843.722483,698,813,72372,82125
Park Ranger 2,,7,Non-Strikeable,5231,5848.98,5935.916483,618,705,62772,71231
Park Ranger Assistant,,7,Non-Strikeable,3604,4025.7,4089.66603,422,486,43248,49076
Park Specialist,,7,Non-Strikeable,4547,5075.79,5159.742353,529,613,54564,61917
Parking Services Representative,,7,Non-Strikeable,3959,4417.62,4492.504943,459,534,47508,53910
Parts Specialist 2,,7,Non-Strikeable,5231,5848.98,5935.916483,618,705,62772,71231
Payroll Analyst,,7,Non-Strikeable,5492,6128.01,6232.08819,636,740,65904,74785
Pharmacist Resident,,7,Non-Strikeable,6031,6728.67,6843.722483,698,813,72372,82125
Pharmacy Clerk & Technician 2,,7,Non-Strikeable,4337,4842.555,4921.443278,506,584,52044,59057
Pharmacy Clerk & Technician 3,,7,Non-Strikeable,4547,5075.79,5159.742353,529,613,54564,61917
Physical/Electronic Security Technician,,7,Non-Strikeable,5231,5848.98,5935.916483,618,705,62772,71231
Print Services Technician,,7,Non-Strikeable,4337,4842.555,4921.443278,506,584,52044,59057
Printing Production Coordinator,,7,Non-Strikeable,6031,6728.67,6843.722483,698,813,72372,82125
Procurement & Contract Specialist 1,,7,Non-Strikeable,6031,6728.67,6843.722483,698,813,72372,82125
Procurement & Contract Specialist 3,,7,Non-Strikeable,7845,8754.3,8902.172588,909,1057,94140,106826
Procurement And Contract Assistant,,7,Non-Strikeable,4994,5571.015,5666.978955,577,673,59928,68004
Program Analyst 1,,7,Non-Strikeable,6031,6728.67,6843.722483,698,813,72372,82125
Program Analyst 3,,7,Non-Strikeable,7845,8754.3,8902.172588,909,1057,94140,106826
Psychiatric Social Worker,,7,Non-Strikeable,7845,8754.3,8902.172588,909,1057,94140,106826
Public Affairs Specialist 2,,7,Non-Strikeable,7845,8754.3,8902.172588,909,1057,94140,106826
Public Health Toxicologist 1,,7,Non-Strikeable,7845,8754.3,8902.172588,909,1057,94140,106826
Public Service Representative 2,,7,Non-Strikeable,3780,4216.335,4289.38335,436,509,45360,51473
Public Service Representative 3,,7,Non-Strikeable,4148,4618.905,4706.97411,471,559,49776,56484
Public Service Representative 4,,7,Non-Strikeable,5231,5848.98,5935.916483,618,705,62772,71231
Rehabilitation Instructor For The Blind,,7,Non-Strikeable,6031,6728.67,6843.722483,698,813,72372,82125
Rehabilitation Instructor For The Blind (Entry),,7,Non-Strikeable,5492,6128.01,6232.08819,636,740,65904,74785
Research Analyst 1,,7,Non-Strikeable,4994,5571.015,5666.978955,577,673,59928,68004
Research Analyst 2,,7,Non-Strikeable,6031,6728.67,6843.722483,698,813,72372,82125
Retirement Counselor 1,,7,Non-Strikeable,5231,5848.98,5935.916483,618,705,62772,71231
Revenue Agent 1,,7,Non-Strikeable,4547,5075.79,5159.742353,529,613,54564,61917
Revenue Agent 2,,7,Non-Strikeable,4994,5571.015,5666.978955,577,673,59928,68004
Revenue Agent 3,,7,Non-Strikeable,5492,6128.01,6232.08819,636,740,65904,74785
Safety Specialist 1,,7,Non-Strikeable,6031,6728.67,6843.722483,698,813,72372,82125
Scientific Instrument Technician,,7,Non-Strikeable,5492,6128.01,6232.08819,636,740,65904,74785
Seamster,,7,Non-Strikeable,4148,4618.905,4706.97411,471,559,49776,56484
Shipping Point Inspector 1,,7,Non-Strikeable,4148,4618.905,4706.97411,471,559,49776,56484
Shipping Point Inspector 2,,7,Non-Strikeable,4547,5075.79,5159.742353,529,613,54564,61917
Sign Technician 1,,7,Non-Strikeable,4994,5571.015,5666.978955,577,673,59928,68004
Social Service Assistant,,7,Non-Strikeable,4547,5075.79,5159.742353,529,613,54564,61917
State Library Specialist 1,,7,Non-Strikeable,3604,4025.7,4089.66603,422,486,43248,49076
Supply Specialist 1,,7,Non-Strikeable,3959,4417.62,4492.504943,459,534,47508,53910
Supply Specialist 2,,7,Non-Strikeable,5231,5848.98,5935.916483,618,705,62772,71231
Tax Auditor/Entry,,7,Non-Strikeable,5231,5848.98,5935.916483,618,705,62772,71231
Teaching Assistant,,7,Non-Strikeable,4148,4618.905,4706.97411,471,559,49776,56484
Training & Development Specialist 1,,7,Non-Strikeable,,,,,,,
Transportation Maintenance Specialist 1,,7,Non-Strikeable,,,,,,,
Transportation Maintenance Specialist 2,,7,Non-Strikeable,4994,5571.015,6232.08819,577,1238,59928,74785
Transportation Services Office Leader,,7,Non-Strikeable,5492,6128.01,6232.08819,636,740,65904,74785
Transportation Services Representative 1,,7,Non-Strikeable,4547,5075.79,5159.742353,529,613,54564,61917
Transportation Services Representative 2,,7,Non-Strikeable,4994,5571.015,5666.978955,577,673,59928,68004
Transportation Telecommunications Specialist 1,,7,Non-Strikeable,5231,5848.98,5935.916483,618,705,62772,71231
Transporting Mental Health Aide,,7,Non-Strikeable,4547,5075.79,5159.742353,529,613,54564,61917
Truck Driver 1,,7,Non-Strikeable,4547,5075.79,5159.742353,529,613,54564,61917
Truck Driver 2,,7,Non-Strikeable,5231,5848.98,5935.916483,618,705,62772,71231
Veterans Service Officer,,7,Non-Strikeable,6031,6728.67,6843.722483,698,813,72372,82125
Veterans Trust Officer,,7,Non-Strikeable,6031,6728.67,6843.722483,698,813,72372,82125
Vocational Rehabilitation Counselor Entry,,7,Non-Strikeable,5231,5848.98,5935.916483,618,705,62772,71231
Water Resource Data Technician 1,,7,Non-Strikeable,4994,5571.015,5666.978955,577,673,59928,68004
Water Resource Data Technician 2,,7,Non-Strikeable,5492,6128.01,6232.08819,636,740,65904,74785
Wildland Fire Dispatcher,,7,Non-Strikeable,4148,4618.905,4706.97411,471,559,49776,56484
Wildland Fire Dispatcher Entry,,7,Non-Strikeable,3477,3838.26,3945.551828,361,469,41724,47347
Wildland Fire Suppression Specialist,,7,Non-Strikeable,4547,5075.79,5159.742353,529,613,54564,61917
Wildland Fire Suppression Specialist Entry,,7,Non-Strikeable,3780,4216.335,4289.38335,436,509,45360,51473
Word Processing Technician 2,,7,Non-Strikeable,3959,4417.62,4492.504943,459,534,47508,53910
Word Processing Technician 3,,7,Non-Strikeable,4337,4842.555,4921.443278,506,584,52044,59057
Youth Corrections Unit Coordinator,,7,Non-Strikeable,6031,6728.67,6843.722483,698,813,72372,82125
Accountant 1,,8,Strikeable,5771,6444,7206,673,1435,69252,86472
Accountant 2,,8,Strikeable,6982,7803,8713,821,1731,83784,104556
Accountant 3,,8,Strikeable,8057,8999,10065,942,2008,96684,120780
Accounting Technician,,8,Strikeable,4776,5345,5964,569,1188,57312,71568
Activities Coordinator,,8,Strikeable,4776,5345,5964,569,1188,57312,71568
Administrative Law Judge 1,,8,Strikeable,8057,8999,10065,942,2008,96684,120780
